"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Yordan Alvarez","Astros","138","582","502","139","27","1","37","90","104","70","142","4","3","1","",".276",".366",".557",".923",".377","","140","-0.2","0.0","","29.9","-16.1","3.3","19556"
"DJ LeMahieu","Yankees","150","683","615","175","30","2","19","93","74","54","100","5","7","3","",".285",".345",".435",".780",".333","","107","-0.5","2.5","","5.8","4.4","3.3","9874"
"Tommy Pham","Padres","146","652","557","151","28","3","25","92","76","79","141","7","18","7","",".272",".366",".467",".833",".353","","120","1.4","1.9","","18.5","-5.4","3.3","2967"
"Javier Baez","Cubs","150","637","593","162","34","4","33","84","100","33","169","4","14","6","",".273",".313",".508",".821",".337","","107","2.0","-1.6","","7.5","5.9","3.3","12979"
"Joey Gallo","Rangers","149","616","513","118","22","2","43","91","101","90","216","6","8","3","",".231",".349",".533",".883",".363","","119","2.3","3.1","","16.9","-5.1","3.3","14128"
"Byron Buxton","Twins","136","529","481","126","31","4","19","72","71","36","134","5","23","6","",".262",".318",".462",".780",".326","","102","4.1","6.2","","5.2","8.5","3.1","14161"
"Ramon Laureano","Athletics","141","571","513","135","30","1","22","72","76","43","143","8","14","5","",".264",".328",".458",".786",".331","","109","2.2","0.8","","9.1","2.9","3.1","17128"
"Michael Conforto","Mets","139","603","509","128","27","1","31","83","85","79","143","8","5","2","",".251",".358",".490",".848",".355","","124","0.9","-0.6","","19.8","-7.2","3.1","16376"
"Kyle Schwarber","Cubs","138","585","498","126","22","2","37","86","90","75","155","5","5","2","",".253",".354",".529",".882",".363","","124","0.4","1.4","","18.6","-5.5","3.1","16478"
"Rhys Hoskins","Phillies","150","656","543","131","27","3","36","93","96","99","153","9","4","2","",".242",".365",".500",".865",".362","","123","0.3","2.2","","19.8","-10.3","3.0","16472"
"Jorge Polanco","Twins","150","664","596","167","35","5","19","91","82","55","109","5","7","4","",".281",".344",".454",".798",".337","","109","1.1","-9.2","","8.8","-2.0","2.9","13152"
"Eugenio Suarez","Reds","150","651","562","142","24","2","36","88","97","73","170","9","3","2","",".253",".345",".493",".838",".350","","113","-1.8","-2.4","","9.0","0.1","2.9","12552"
"Starling Marte","Diamondbacks","149","664","607","173","33","7","24","90","85","36","123","13","26","9","",".284",".335",".481",".816",".341","","109","1.6","-3.4","","9.5","-0.9","2.9","9241"
"Nelson Cruz","Twins","144","627","549","155","27","1","39","95","111","63","154","10","1","1","",".282",".363",".548",".911",".375","","135","-3.4","0.0","","24.3","-16.8","2.9","2434"
"Luis Robert","White Sox","139","565","521","142","25","5","25","75","81","29","143","8","23","9","",".273",".318",".488",".806",".335","","111","0.9","0.0","","8.8","0.8","2.9","sa3003396"
"Alex Verdugo","Red Sox","125","516","464","142","33","3","14","69","67","42","70","4","6","3","",".307",".367",".479",".846",".357","","119","0.4","3.7","","12.7","-2.5","2.8","17027"
"Eloy Jimenez","White Sox","141","590","542","152","26","2","33","80","95","37","134","5","1","1","",".280",".329",".521",".850",".352","","122","0.8","-2.5","","17.4","-10.0","2.7","17484"
"Brandon Lowe","Rays","134","570","506","125","27","2","23","70","74","50","157","6","7","3","",".248",".321",".448",".769",".324","","105","1.6","1.2","","5.0","3.0","2.7","18882"
"Joc Pederson","Dodgers","100","438","378","97","19","2","27","68","66","46","92","7","3","1","",".256",".346",".536",".882",".364","","129","0.7","1.8","","17.2","-3.2","2.7","11899"
"Christian Vazquez","Red Sox","107","426","391","103","21","1","13","49","52","26","80","3","5","2","",".263",".312",".419",".730",".308","","86","-1.3","2.9","","-9.0","10.9","2.7","9774"
"Brian Anderson","Marlins","150","655","576","150","33","2","21","76","76","59","139","12","5","2","",".260",".339",".433",".772",".329","","106","0.1","0.3","","5.0","1.9","2.7","18289"
"Austin Meadows","Rays","138","610","546","149","29","5","27","85","83","50","124","6","14","6","",".272",".338",".493",".831",".345","","119","0.6","-2.2","","15.2","-9.0","2.7","15672"
"Carlos Santana","Indians","150","654","544","142","30","1","30","92","94","99","103","5","3","1","",".260",".376",".483",".859",".360","","121","-0.4","0.0","","17.4","-12.9","2.7","2396"
"Lorenzo Cain","Brewers","141","634","561","156","29","1","15","82","63","57","109","7","19","6","",".277",".349",".415",".764",".328","","100","1.5","3.3","","1.5","5.6","2.7","9077"
"Willy Adames","Rays","147","584","520","133","24","2","18","66","68","53","142","4","7","3","",".256",".326",".415",".741",".316","","99","1.2","-1.0","","0.4","6.3","2.7","15986"
"Adalberto Mondesi","Royals","149","649","605","153","29","9","20","82","77","33","175","3","49","14","",".254",".293",".431",".724",".303","","85","4.8","4.3","","-7.5","11.8","2.6","13769"
"Michael Brantley","Astros","141","621","560","162","34","2","21","85","87","49","72","6","5","2","",".289",".350",".467",".817",".344","","118","0.1","-1.5","","14.5","-9.4","2.6","4106"
"Marcell Ozuna","Braves","147","634","569","157","28","2","31","82","100","57","131","3","7","3","",".276",".342",".495",".837",".349","","114","0.2","1.9","","11.7","-5.5","2.6","10324"
"Gary Sanchez","Yankees","107","459","404","98","17","1","31","66","78","44","118","7","1","1","",".242",".324",".517",".841",".347","","117","-0.4","-2.9","","9.6","5.1","2.6","11442"
"Max Muncy","Dodgers","136","582","486","117","21","1","29","81","79","82","153","6","4","2","",".241",".355",".467",".822",".348","","118","1.2","2.3","","14.9","-7.1","2.6","13301"
"Shohei Ohtani","Angels","128","548","486","136","25","4","28","79","88","52","141","4","12","5","",".281",".353",".525",".878",".364","","131","0.6","0.0","","22.1","-14.9","2.6","19755"
"Andrew Benintendi","Red Sox","149","661","578","158","39","4","19","92","79","68","129","6","13","5","",".273",".353",".452",".805",".342","","109","1.3","1.5","","8.6","-5.6","2.6","17901"
"Luis Arraez","Twins","130","544","490","153","28","2","6","65","57","43","46","3","6","3","",".312",".369",".416",".785",".338","","110","0.9","-3.5","","7.7","-1.3","2.5","18568"
"Kolten Wong","Cardinals","141","570","498","133","28","3","12","61","60","51","88","13","16","6","",".267",".347",".410",".757",".323","","101","2.2","1.8","","2.8","4.1","2.5","12532"
"Amed Rosario","Mets","150","625","578","159","30","6","15","70","68","33","112","4","20","8","",".276",".318",".424",".742",".313","","96","1.7","-1.1","","-1.4","6.4","2.5","15518"
"Kyle Seager","Mariners","141","593","531","129","28","1","26","69","78","50","120","6","3","2","",".243",".312",".446",".758",".319","","101","-0.8","1.3","","0.3","3.6","2.4","9785"
"Mark Canha","Athletics","141","587","507","127","27","3","25","76","79","60","137","14","4","2","",".251",".343",".461",".804",".340","","115","-0.2","-0.9","","11.1","-7.1","2.4","11445"
"Keston Hiura","Brewers","144","606","549","149","32","3","29","78","91","41","160","10","12","6","",".271",".331",".496",".827",".344","","110","0.2","-5.9","","8.4","-3.5","2.4","20003"
"Eddie Rosario","Twins","146","627","587","167","34","2","30","85","101","32","104","2","5","2","",".284",".320",".499",".820",".339","","111","2.1","-1.2","","10.6","-8.2","2.4","12155"
"Miguel Sano","Twins","139","588","510","126","24","2","37","85","98","68","205","4","1","1","",".247",".337",".520",".857",".355","","121","-1.5","-0.5","","14.7","-11.0","2.4","12164"
"Bryan Reynolds","Pirates","149","653","585","169","34","4","18","82","74","53","138","6","7","3","",".288",".351",".454",".806",".341","","111","0.5","-2.1","","10.2","-7.5","2.3","19326"
"Danny Jansen","Blue Jays","78","307","270","68","14","1","11","37","37","27","55","5","2","1","",".250",".326",".432",".758",".322","","100","0.2","0.6","","0.1","7.1","2.3","16535"
"Roberto Perez","Indians","90","356","312","69","13","1","14","40","43","36","105","3","1","0","",".220",".304",".400",".704",".301","","81","-0.9","3.7","","-9.4","11.3","2.2","2900"
"Didi Gregorius","Phillies","141","600","553","143","27","3","24","70","83","36","87","5","6","2","",".259",".308",".452",".760",".317","","93","1.6","0.1","","-3.5","7.1","2.2","6012"
"Jean Segura","Phillies","134","603","554","159","31","3","15","76","64","34","76","7","12","4","",".288",".334",".433",".767",".325","","99","1.3","0.4","","0.2","3.1","2.2","5933"
"Eduardo Escobar","Diamondbacks","150","651","590","152","32","7","25","80","87","49","129","5","4","2","",".257",".317",".463",".780",".325","","98","0.6","0.1","","-1.0","2.6","2.2","6153"
"J.P. Crawford","Mariners","149","638","552","129","27","4","14","70","60","71","135","6","8","4","",".233",".325",".373",".698",".303","","91","0.6","-0.6","","-6.8","6.8","2.2","15491"
"Jorge Soler","Royals","150","641","554","143","30","1","35","88","97","72","172","8","4","2","",".258",".349",".504",".853",".356","","121","-0.5","-0.9","","16.7","-16.8","2.2","14221"
"Andrew McCutchen","Phillies","131","590","502","130","25","2","27","83","74","75","131","6","8","4","",".259",".359",".477",".836",".353","","117","-0.9","-2.3","","12.2","-8.9","2.2","9847"
"Cavan Biggio","Blue Jays","138","600","504","118","24","3","20","77","67","83","156","4","12","5","",".235",".346",".413",".759",".327","","103","1.1","-0.3","","3.8","-2.9","2.1","19252"
"Carter Kieboom","Nationals","123","497","439","115","22","1","15","55","58","46","115","5","4","2","",".261",".336",".418",".753",".322","","94","0.4","6.8","","-3.3","9.0","2.1","19958"
"Mike Moustakas","Reds","146","626","563","144","28","1","36","83","98","51","111","6","3","1","",".257",".323",".504",".827",".341","","107","-2.2","-4.3","","3.4","-1.9","2.1","4892"
"Yandy Diaz","Rays","122","523","453","124","23","2","12","62","57","61","101","3","4","2","",".274",".361",".410",".771",".333","","111","-0.2","-1.3","","7.0","-3.8","2.1","16578"
"Adam Eaton","Nationals","143","642","557","157","29","5","15","88","63","64","111","12","12","4","",".282",".366",".432",".798",".343","","108","2.0","-1.3","","9.2","-8.4","2.1","11205"
"Matt Carpenter","Cardinals","123","547","456","108","27","2","21","73","60","77","137","7","5","2","",".237",".352",".442",".794",".338","","110","-0.2","-5.8","","7.3","-4.0","2.1","8090"
"Whit Merrifield","Royals","150","688","624","176","37","6","14","90","65","48","114","6","23","8","",".282",".337",".427",".764",".324","","99","2.7","-5.1","","1.8","-5.2","2.0","11281"
"Gavin Lux","Dodgers","130","530","477","127","23","4","17","62","65","44","109","3","9","4","",".267",".329",".438",".767",".324","","103","0.5","-0.9","","2.3","1.3","2.0","19955"
"Tim Anderson","White Sox","150","638","599","165","33","1","21","78","79","26","143","4","17","6","",".276",".308",".441",".749",".314","","97","1.2","-7.9","","-1.4","-0.4","2.0","15172"
"Cesar Hernandez","Indians","133","578","506","140","26","2","11","71","56","59","99","5","9","4","",".277",".356",".400",".755",".326","","98","0.6","-1.3","","-0.8","0.9","2.0","10556"
"Carson Kelly","Diamondbacks","99","390","336","84","18","1","14","43","46","44","75","4","1","0","",".249",".340",".429",".769",".323","","97","-0.3","0.8","","-1.9","9.1","2.0","13620"
"David Peralta","Diamondbacks","138","605","544","152","32","4","22","77","77","48","121","6","3","1","",".280",".342",".472",".815",".341","","109","0.2","0.1","","7.3","-6.5","2.0","2136"
"Joey Votto","Reds","150","670","557","150","30","1","23","92","77","97","123","7","4","1","",".270",".382",".452",".834",".356","","117","-4.0","0.0","","11.1","-12.5","2.0","4314"
"Brandon Belt","Giants","126","551","467","118","28","3","18","68","63","74","121","4","4","2","",".253",".358",".441",".799",".340","","113","-0.1","3.8","","9.1","-6.7","2.0","10264"
"Victor Robles","Nationals","150","609","546","143","31","3","17","71","71","39","128","15","27","11","",".262",".326",".423",".750",".318","","92","1.2","3.5","","-5.1","5.6","2.0","18363"
"Yadier Molina","Cardinals","102","428","394","104","21","1","12","45","50","24","65","5","4","2","",".264",".311",".411",".722",".307","","90","-2.7","3.9","","-8.3","12.4","1.9","7007"
"Robinson Cano","Mets","128","558","508","138","31","1","20","67","73","39","89","6","1","0","",".271",".327",".449",".777",".326","","105","-2.1","-1.8","","1.4","0.3","1.9","3269"
"Josh Bell","Pirates","150","641","549","151","32","3","29","83","94","82","121","4","2","1","",".275",".370",".503",".873",".362","","125","-2.2","-7.2","","18.7","-19.7","1.9","13145"
"Trey Mancini","Orioles","150","657","588","160","31","2","30","87","90","54","148","7","1","1","",".273",".339",".486",".825",".345","","114","-0.4","-3.6","","10.9","-14.4","1.9","15149"
"Mitch Garver","Twins","90","378","332","85","18","1","16","51","52","37","91","3","1","0","",".254",".333",".465",".799",".336","","108","-0.3","-2.7","","3.8","4.9","1.9","15161"
"Jason Castro","Angels","90","354","307","67","15","1","12","40","41","38","110","4","1","1","",".220",".312",".387",".698",".301","","88","-0.9","1.2","","-6.3","8.7","1.9","8722"
"Mike Zunino","Rays","99","389","348","71","14","1","17","43","47","31","134","5","1","1","",".204",".276",".396",".672",".285","","78","-0.4","2.2","","-11.3","10.5","1.9","13265"
"Kevin Kiermaier","Rays","113","474","428","103","19","5","14","54","54","34","109","6","15","6","",".240",".302",".411",".713",".301","","89","2.2","5.1","","-4.4","7.0","1.9","11038"
"Will Smith","Dodgers","98","397","351","79","15","1","20","47","55","35","100","6","3","1","",".225",".304",".441",".745",".313","","95","0.0","0.7","","-2.5","8.9","1.9","19197"
"Jackie Bradley Jr.","Red Sox","138","538","469","113","27","3","18","67","66","52","141","9","10","4","",".240",".325",".427",".752",".318","","93","1.8","0.8","","-3.1","3.1","1.9","12984"
"Jose Abreu","White Sox","149","658","598","165","35","1","32","87","101","42","139","12","3","1","",".276",".333",".498",".831",".344","","117","-2.2","-3.1","","12.1","-16.5","1.8","15676"
"Trent Grisham","Padres","118","516","446","109","20","4","18","65","55","58","111","4","10","4","",".245",".335",".428",".763",".325","","101","0.8","-0.2","","1.7","0.5","1.8","18564"
"Brett Gardner","Yankees","118","509","447","110","20","4","17","67","58","50","100","5","10","3","",".246",".327",".422",".749",".320","","99","2.3","-1.3","","1.3","-0.5","1.8","9927"
"Charlie Blackmon","Rockies","143","653","585","172","33","6","29","100","83","50","120","8","8","3","",".295",".356",".521",".877",".365","","111","0.3","-4.9","","9.6","-12.1","1.8","7859"
"Randal Grichuk","Blue Jays","130","548","502","123","30","3","30","72","85","34","148","5","3","1","",".245",".298",".499",".798",".329","","105","0.2","-1.6","","3.6","-4.2","1.8","10243"
"Edwin Encarnacion","White Sox","130","558","477","118","19","1","33","78","89","69","128","7","1","1","",".246",".346",".498",".844",".353","","123","-2.6","-0.2","","13.5","-14.6","1.8","2151"
"Dansby Swanson","Braves","146","605","536","135","29","3","18","69","67","56","135","4","10","4","",".252",".325",".416",".741",".313","","90","1.9","-1.9","","-6.3","5.4","1.8","18314"
"Adam Frazier","Pirates","130","561","502","139","29","5","10","64","53","43","75","7","7","4","",".277",".341",".413",".753",".321","","98","1.0","-1.4","","-0.5","0.8","1.8","15223"
"Sean Murphy","Athletics","90","358","322","81","17","1","14","44","46","27","76","4","2","1","",".250",".313",".442",".755",".317","","100","0.3","0.0","","0.4","7.5","1.8","19352"
"Jonathan Villar","Marlins","150","662","589","152","28","4","17","79","65","59","169","5","33","10","",".258",".327",".408",".735",".315","","96","3.1","-6.8","","0.0","-3.2","1.8","10071"
"Brandon Crawford","Giants","134","553","494","122","28","2","14","54","60","48","116","4","4","2","",".247",".318",".394",".712",".302","","88","-0.2","2.3","","-9.2","9.0","1.7","5343"
"Yuli Gurriel","Astros","149","620","574","166","37","2","24","81","93","33","75","6","5","2","",".289",".332",".486",".818",".341","","116","-1.7","-3.7","","11.2","-15.8","1.7","19198"
